chain,start,end,change,percent change
chipotle,69,82,13,0.188406
chipotle,1133,1241,108,0.095322
chipotle,714,812,98,0.137255
chipotle,5086,5187,101,0.019858
chipotle,6009,6152,143,0.023798
chipotle,329,355,26,0.079027
chipotle,6217,6334,117,0.018819
chipotle,2078,2172,94,0.045236
chipotle,11103,11258,155,0.013960
chipotle,4091,4129,38,0.009289
chipotle,4996,5097,101,0.020216
chipotle,6,9,3,0.500000
chipotle,6188,6317,129,0.020847
chipotle,6054,6154,100,0.016518
chipotle,6211,6326,115,0.018516
chipotle,512,602,90,0.175781
chipotle,82,112,30,0.365854
chipotle,991,1076,85,0.085772
chipotle,18,18,0,0.000000
chipotle,631,710,79,0.125198
chipotle,10,10,0,0.000000
chipotle,11898,11986,88,0.007396
chipotle,4,4,0,0.000000
chipotle,21,29,8,0.380952
chipotle,5,8,3,0.600000
chipotle,7655,7799,144,0.018811
chipotle,3188,3242,54,0.016939
chipotle,4581,4660,79,0.017245
chipotle,4483,4536,53,0.011822
chipotle,2688,2730,42,0.015625
chipotle,612,669,57,0.093137
chipotle,5639,5734,95,0.016847
chipotle,151,214,63,0.417219
chipotle,536,602,66,0.123134
chipotle,929,981,52,0.055974
chipotle,8412,8498,86,0.010223
chipotle,5333,5444,111,0.020814
chipotle,3959,4054,95,0.023996
chipotle,3551,3618,67,0.018868
chipotle,2186,2235,49,0.022415
chipotle,412,466,54,0.131068
chipotle,395,475,80,0.202532
chipotle,5,5,0,0.000000
chipotle,9,9,0,0.000000
chipotle,330,362,32,0.096970
chipotle,2249,2282,33,0.014673
chipotle,193,227,34,0.176166
chipotle,23,57,34,1.478261
chipotle,435,473,38,0.087356
chipotle,7,19,12,1.714286
chipotle,3946,4006,60,0.015205
chipotle,3136,3194,58,0.018495
chipotle,3639,3733,94,0.025831
chipotle,6220,6333,113,0.018167
chipotle,3465,3602,137,0.039538
chipotle,5639,5695,56,0.009931
chipotle,12843,13080,237,0.018454
chipotle,6541,6675,134,0.020486
chipotle,6626,6802,176,0.026562
chipotle,2293,2365,72,0.031400
chipotle,7031,7221,190,0.027023
chipotle,410,507,97,0.236585
chipotle,4305,4415,110,0.025552
chipotle,6273,6428,155,0.024709
chipotle,3875,3913,38,0.009806
chipotle,7015,7185,170,0.024234
chipotle,5915,6010,95,0.016061
chipotle,4567,4689,122,0.026713
chipotle,5759,5849,90,0.015628
chipotle,6347,6429,82,0.012919
chipotle,6312,6390,78,0.012357
chipotle,7277,7484,207,0.028446
chipotle,4450,4530,80,0.017978
chipotle,2398,2436,38,0.015847
chipotle,3576,3628,52,0.014541
chipotle,6446,6531,85,0.013186
chipotle,5270,5390,120,0.022770
chipotle,5320,5454,134,0.025188
chipotle,3279,3336,57,0.017383
chipotle,5578,5671,93,0.016673
chipotle,2242,2321,79,0.035236
chipotle,1159,1214,55,0.047455
chipotle,2503,2561,58,0.023172
chipotle,451,542,91,0.201774
chipotle,1239,1310,71,0.057304
chipotle,7025,7331,306,0.043559
chipotle,1412,1532,120,0.084986
chipotle,212,235,23,0.108491
chipotle,59,79,20,0.338983
chipotle,23,23,0,0.000000
chipotle,23,40,17,0.739130
